video_id,channel_title,category,log_views,chan_mean_oof,chan_mean_naive,chan_freq
4srOE3pCCo8,What's Inside?,Sports,14.221857277338996,14.338087615654246,13.992960599596062,7
8EK-QMtHhMI,jacksfilms,Comedy,14.223102070338246,14.137995940944547,14.106028735007051,23
ZKWDCyVbnoM,ONE Media,Film & Animation,14.2231971966451,14.396160079058163,13.95935296101972,6
CyPPi6T3D3s,5-Minute Crafts,Howto & Style,14.223814300002893,16.68278502997809,15.863128119986357,3
dAHolupCEkc,The King of Random,Education,14.22449812160195,13.695493254064678,13.721482802660391,21
HxuHo62reRw,Tasty,Howto & Style,14.22571375690442,14.084088708938804,13.926294787143648,28
Gv1xjf8BUrY,Smosh,Comedy,14.225800673645868,14.177840515828958,14.207023879627824,16
oddXT5uaRb8,1theK (원더케이),Music,14.226925265387113,14.883810527857586,14.504241861561582,5
RP3UsFrDJfY,LadyGagaVEVO,Music,14.22695309890556,15.213245722789033,14.913651821308884,3
07S_Glj3uYs,Alan Walker,Music,14.227432774007765,14.347627262083819,14.327594847404475,6
k6NTcNFjVjE,NBC Sports,Sports,14.23152119929548,12.58251509426603,12.7498333728458,19
xqj7XOv9mC8,Bleecker Street,Film & Animation,14.231726996172052,14.856803220846981,14.824464682857563,4
QF031DwMffQ,ワーナー ブラザース 公式チャンネル,Film & Animation,14.232036271431806,13.494482443847836,14.232036271431806,1
D0aAYfRBVik,KatyPerryVEVO,Music,14.232069896877965,17.32466924030899,15.778369568593476,2
qmvj7ijV0Q0,The Late Show with Stephen Colbert,Entertainment,14.23256030428187,13.192667155457963,13.260365429830978,58
af6L1jBZGYA,The Tonight Show Starring Jimmy Fallon,Comedy,14.23480296023046,13.322494165530594,13.32792431159366,72
tEmodtG8NV0,Gabbie Hanna,Howto & Style,14.23495877841265,14.51145172009064,14.796237261875458,4
fqQ7ymRr5X0,Rudy Mancuso,Comedy,14.236348233690604,15.090699345904943,14.983905456878151,8
l3xmc0pzzJI,Safiya Nygaard,People & Blogs,14.237086519830676,15.137220059422862,15.11571470274368,18
IkV5VpEROW0,Vogue,People & Blogs,14.237222961050303,13.48789586424002,13.527330238462259,25
kWku5rgaJWM,Amazon Studios,Film & Animation,14.238425855352135,12.787531714118675,13.6692227115212,5
